Mapper Spacer Calibration File
Film	R	G	B
-10	85	118	185
-9	88	122	185
-8	92	126	184
-7	95	129	184
-6	98	133	183
-5	101	137	182
-4	104	140	181
-3	108	144	179
-2	111	147	178
-1	114	150	176
0	118	153	174
1	121	156	173
2	124	158	171
3	128	161	168
4	131	162	166
5	134	164	164
6	137	166	161
7	140	167	158
8	143	168	156
9	146	169	153
10	149	170	150
11	152	170	147
12	153	170	144
13	156	170	141
14	158	170	138
15	161	169	135
16	163	169	131
17	165	168	128
18	167	167	125
19	169	166	121
20	170	164	118
21	172	163	115
22	174	161	112
23	175	159	108
24	176	157	105
25	177	155	103
26	178	153	100
27	179	150	96
28	179	148	93
29	180	145	90
30	180	143	87
31	180	139	84
32	180	137	81
33	180	134	78
34	180	131	76
35	180	128	73
36	179	125	70
37	179	122	68
38	178	119	65
39	177	116	63
40	176	114	60
41	175	110	58
42	174	108	56
43	173	105	54
44	172	103	52
45	170	100	50
46	169	98	49
47	167	95	47
48	166	93	45
49	164	91	44
50	162	89	43
51	161	87	41
52	159	85	40
53	157	83	39
54	155	81	38
55	153	79	37
56	151	77	36
57	149	75	35
58	147	73	34
59	144	71	33
60	142	70	32
61	140	68	31
62	137	66	30
63	134	64	29
64	132	63	28
65	129	61	27
66	126	59	27
67	124	57	26
68	121	55	25
69	118	53	24
70	115	52	23
71	113	50	23
72	110	48	22
73	107	47	22
74	104	46	21
75	101	44	21
76	99	42	20
77	97	41	20
78	94	39	20
79	92	38	20
80	89	36	20
81	86	35	20
82	84	34	20
83	81	33	21
84	79	31	21
85	77	30	22
86	74	29	22
87	72	28	23
88	70	27	24
89	68	26	25
90	66	25	26
91	64	24	27
92	62	24	28
93	60	23	29
94	58	22	30
95	56	21	31
96	55	21	33
97	53	20	34
98	51	19	35
99	50	19	37
100	49	18	39
101	47	18	40
102	46	18	42
103	45	18	44
104	43	17	45
105	43	17	47
106	42	16	49
107	41	16	51
108	40	16	53
109	39	16	56
110	38	15	58
111	37	15	60
112	36	15	63
113	35	15	65
114	34	15	68
115	33	15	71
116	32	15	74
117	31	15	76
118	30	15	79
119	30	15	82
120	29	15	86
121	28	15	89
122	27	16	92
123	26	16	95
124	25	16	98
125	25	16	101
126	24	17	104
127	23	17	107
128	23	18	110
129	22	18	113
130	22	18	116
131	21	18	119
132	21	19	122
133	20	19	125
134	20	20	128
135	19	20	130
136	19	21	133
137	19	22	136
138	18	23	138
139	18	24	141
140	18	24	143
141	18	25	146
142	17	26	148
143	17	27	150
144	17	28	152
145	17	29	154
146	17	30	156
147	17	31	158
148	17	32	160
149	17	34	162
150	17	35	163
151	17	36	165
152	17	38	166
153	17	40	167
154	17	41	169
155	18	43	170
156	18	45	171
157	18	47	171
158	18	48	172
159	18	50	173
160	19	52	173
161	19	54	173
162	20	57	173
163	20	58	173
164	20	61	173
165	21	63	172
166	22	65	172
167	22	67	171
168	23	70	170
169	23	72	169
170	24	75	167
171	25	76	166
172	26	79	165
173	26	81	163
174	27	84	161
175	28	87	159
176	29	89	157
177	30	92	155
178	31	94	153
179	32	97	151
180	33	99	148
181	34	102	146
182	35	104	143
183	37	107	141
184	38	110	138
185	39	112	135
186	40	115	133
187	42	117	130
188	43	119	127
189	43	121	125
190	45	124	122
191	46	126	119
192	48	128	117
193	49	130	114
194	51	132	111
195	52	133	109
196	54	135	106
197	55	137	104
198	57	138	103
199	59	140	100
200	60	142	98
201	62	143	96
202	64	144	94
203	66	145	91
204	67	147	89
205	69	148	87
206	71	149	85
207	73	150	83
208	75	150	81
209	77	151	79
